subjectID,Min,Max,Crossover,Slope,exitflag,R,LS,AR,N,status,age,Exclude,goacc,nogoacc,gntestacc,gntotalacc,sscongruent,ssincongruent,sstotal,WJOC,WJSR,CMu,CH,CS1,CS2,CB1,CB2,Cexitflag,CR,CLS,CAR,CN,Cstatus,UMu,UH,US1,US2,UB1,UB2,Uexitflag,UR,ULS,UAR,UN,Ustatus,MinTime,MaxTime,extentCmU3,CompMax,CompMax-UnrelatedMax,CompMax-UnrelatedAtTimeOfCohortMax,CohortMaxDivUnrelatedAtTimeOfCohortMax,MaxDiffBetweenCohort&Unrelated,TimeOfMaxRhyme,TimeOfMaxDiff,CohortExtent03,eyemove
2331,4.19E-08,0.939114821,515.8080785,0.003977362,2010,0.996688904,0.000993152,0.991233546,501,1,12.4,,1,0.65,0.93,0.930769231,869.461,944.6996,907.0803,88.4171,85.08313,512.534882,0.191231154,65.63634474,100.1493066,1.45E-08,0.002371048,2030,0.99468729,2.41E-05,0.868478361,501,1,194.3173537,0.008084868,138.0973925,63.94847576,8.98E-06,2.82E-06,2020,0.94293213,8.78E-07,0.981457398,501,3,424,596,172,0.191231,0.187011,0.188252,64.1984,0.188246,512.535,512,0,1439.44792
2332,1.69E-08,0.948295258,695.3316746,0.002108647,2010,0.99805594,0.000682472,0.986053316,501,1,8.5,,0.95,0.7,0.9,0.907692308,1452.8052,1635.1456,1543.9754,85.08313,95.0222,590.6532735,0.189923594,103.8714308,239.2951513,0.006095793,0.007715803,2040,0.990497787,6.80E-05,0.919476583,501,1,558.637288,0.084937292,77.99648722,161.1504481,0.002312552,0.007816045,2041,0.989496417,1.11E-05,0.809532683,501,1,484,852,368,0.190535,0.105671,0.106498,2.26727,0.110916,584.475,680,0,1895
2333,2.03E-08,0.929841126,528.2641393,0.002622729,2010,0.997898939,0.000626493,0.986872232,501,1,12,,1,0.9,0.98,0.984615385,719.9846,804.5954,762.29,96.58682,107.0155,483.8018474,0.176392122,59.61525585,140.9554839,3.76E-09,0.007443783,2010,0.995623414,1.88E-05,0.824845547,501,1,462.2174024,0.057109666,52.28920942,78.39160544,0.004190561,0.009014924,2011,0.975143989,6.44E-06,0.821742239,501,1,416,644,228,0.176392,0.119646,0.121013,3.18519,0.125139,483.802,528,0,1224.54497
2334,5.08E-08,0.89013933,516.8361587,0.003141388,2010,0.998262003,0.00045314,0.979693795,501,1,11.5,,0.9875,0.9,0.97,0.976923077,967.4134,1045.648,1006.5307,103.4132,105.3769,472.3551071,0.293885166,58.30494293,124.9227888,0.000223712,0.005112789,2020,0.994763402,6.02E-05,0.929457458,501,1,427.2870729,0.073133216,39.30554005,106.9516691,0.000294932,0.001736065,2031,0.9905601,5.54E-06,0.826625987,501,1,404,596,192,0.293873,0.221126,0.227102,4.40121,0.22934,472.409,488,104,1511.28272
2336,2.59E-07,0.947751014,499.4669375,0.003654133,2020,0.999134194,0.000246892,0.962803142,501,1,7.7,,0.975,0.95,0.97,0.976923077,571.1064,675.0136,623.06,97.35439,96.9716,463.9713052,0.232501919,51.79698261,120.3061743,0.002612212,0.013720304,2020,0.991909056,5.19E-05,0.895752255,501,1,427.663216,0.100082945,51.17747453,63.53110935,0.001436605,0.005739627,2011,0.989448167,8.82E-06,0.841956372,501,1,428,588,160,0.232325,0.132218,0.146124,2.69516,0.171916,464.555,520,0,1268.91579
2337,1.49E-07,0.861078787,429.7000499,0.00442512,2010,0.992151914,0.001784807,0.992479792,501,1,13,,1,0.85,0.97,0.976923077,749.6236,785.7038,767.6637,91.25738,86.83156,467.0595437,0.215227804,67.35491535,79.92882904,0.000459621,0.008037781,2030,0.994116968,2.92E-05,0.902975686,501,1,478.2955441,0.034766112,72.24504779,59.39341514,0.002182236,0.009079622,2021,0.942419869,5.26E-06,0.87305324,501,1,368,540,172,0.215881,0.180732,0.180738,6.143,0.180728,464.619,464,0,1125.1466
2338,1.09E-08,0.949999749,532.1146091,0.002677926,2010,0.998324448,0.000541973,0.997700407,501,3,11.2,,1,0.6,0.92,0.938461538,994.7208,1004.9088,999.8148,114.9169,103.8002,515.8502354,0.262014471,101.5109824,100.6301928,0.019992753,0.026598077,2040,0.984248894,0.000132061,0.953304544,501,1,469.6862972,0.101371387,76.81196282,74.3217202,0.005976539,0.019456469,2011,0.916779083,8.00E-05,0.978702069,501,1,416,628,212,0.260002,0.159456,0.172639,2.97612,0.181902,516.297,548,0,1542.95789
2339,1.55E-08,0.840648075,326.2335492,0.003776617,2020,0.993801517,0.001071268,0.988916976,501,1,12.2,,1,0.85,0.97,0.976923077,589.2524,620.397,604.8247,90.80781,85.68752,336.1672542,0.187503899,50.19329611,77.50403787,1.29E-08,0.005100381,2030,0.990366152,3.29E-05,0.897209896,501,1,273.6769119,0.010685195,16.01174537,129.6628932,0.001931574,0.00199753,2040,0.957988368,8.37E-07,0.997464731,501,3,260,412,152,0.187504,0.178154,0.184796,69.2348,0.184795,336.167,336,0,1084.05236
2342,1.14E-07,0.961851959,478.652035,0.00417018,2010,0.997340803,0.000831557,0.987942398,501,1,12.1,,0.9375,0.9,0.93,0.930769231,650.2294,720.5776,685.4035,115.5465,84.4535,491.3437961,0.208638782,49.41869819,119.7648189,6.00E-07,0.000385944,2030,0.995084715,2.74E-05,0.847027831,501,1,503.2328425,0.01153143,90.03383831,110.0717735,1.71E-06,1.33E-06,2010,0.969114722,6.48E-07,0.929880405,501,1,424,588,164,0.208639,0.197107,0.197196,18.2336,0.197193,491.344,492,0,1125.15625
2343,5.40E-08,0.844969322,594.9744088,0.002113609,2020,0.996813689,0.00082366,0.988638072,501,1,11.4,,1,0.9,0.98,0.984615385,834.8958,1178.2336,1006.5647,109,102,575.8939956,0.123142108,86.59983717,123.6230775,8.29E-08,0.01033681,2011,0.992149318,1.63E-05,0.84094267,501,1,543.0935052,0.013780829,369.9116564,173.499184,3.60E-05,0.002893009,2011,0.876259549,4.73E-06,0.940181526,501,1,480,700,220,0.123142,0.105839,0.106658,7.47026,0.106739,575.893,580,0,1351.50785
2344,3.03E-08,0.972237177,500.4017811,0.003865539,2020,0.99718317,0.000900177,0.988359218,501,1,11.6,,0.9875,0.95,0.98,0.984615385,909.8418,774.8876,842.3647,112.0963,92.134,513.661611,0.158177793,71.6195873,91.85977298,1.41E-08,0.003978645,2030,0.995814633,1.26E-05,0.805634653,501,1,465.8613617,0.033132906,54.48118751,86.93066051,7.61E-06,6.70E-06,2011,0.989988878,1.24E-06,0.683124742,501,1,424,612,188,0.158178,0.125045,0.129397,5.49592,0.130709,513.662,524,0,1190.97396
2346,8.45E-08,0.986351198,473.3382137,0.00420521,2020,0.99842218,0.000512086,0.98495485,501,1,11.1,,0.9875,0.95,0.98,0.984615385,739.5608,827.9746,783.7677,95.41779,98.87095,461.8627938,0.27579018,55.40246381,94.02177822,8.30E-07,0.000221979,2040,0.995886489,3.63E-05,0.89380297,501,1,435.9859872,0.02254701,47.4606441,87.46095849,3.62E-06,1.98E-06,2010,0.984611641,8.50E-07,0.740463462,501,1,384,556,172,0.27579,0.253244,0.254375,12.8781,0.254303,461.863,464,104,1033.06771
2347,2.71E-08,0.909394302,520.4758876,0.003049054,2010,0.997783965,0.000609654,0.989038802,501,1,11.3,,1,0.9,0.98,0.984615385,852.0718,831.3038,841.6878,106.5987,NA,510.7889303,0.177243856,57.21994455,125.4470504,0.00709849,0.011890333,2010,0.992937574,2.68E-05,0.898739611,501,1,457.4517148,0.022210183,49.50633121,148.398166,6.04E-05,0.002730278,2031,0.970989028,1.82E-06,0.755105948,501,1,436,632,196,0.176937,0.154727,0.156185,8.52638,0.156189,514.047,520,0,1156.13684
